"Seo options","Options Seo"
"Robots Rule management","Gestion des règles de crawl des robots"
"Module Activation","Activation du module"
"Choose if you want orders to robots to be activated","Choisissez si vous souhaitez activer le règles des robots"
"List of Robots Indication","Liste des règles du module"
"Specify the robots indication","Précisez les règles pour les robots"
"Log Activation","Activation des logs d'installation"
"Activate log of actual route/controller. (Magento log need to be activated)","Active les logs des routes/controller actuels. (Nécessite que les logs magento soient activés)"
"Router","Route"
"Controller","Controleur"
"Robots Directive","Ordres aux robots"